fold,participant,actual_age,predicted_age,abs_error,selected_features,feature_1,feature_2,feature_3,equation,equation_readable
0,2,22.0,20.511052724730902,1.4889472752690942,rom_roll_ratio_stepforward_walk;peak_roll_walkingincline;stride_timing_cv_walking,rom_roll_ratio_stepforward_walk,peak_roll_walkingincline,stride_timing_cv_walking,"add(mul(-3.323, -8.986), add(mul(X2, mul(X1, mul(1.839, X0))), div(add(X1, 7.657), -5.522)))","add(mul(-3.323, -8.986), add(mul(stride_timing_cv_walking, mul(peak_roll_walkingincline, mul(1.839, rom_roll_ratio_stepforward_walk))), div(add(peak_roll_walkingincline, 7.657), -5.522)))"
1,3,24.0,32.25245468049411,8.252454680494111,stride_timing_cv_walking;peak_roll_walkingincline;rom_roll_ratio_stepforward_walk,stride_timing_cv_walking,peak_roll_walkingincline,rom_roll_ratio_stepforward_walk,"add(add(mul(X0, 8.939), mul(5.167, 4.351)), mul(mul(X0, X2), mul(X1, 1.249)))","add(add(mul(stride_timing_cv_walking, 8.939), mul(5.167, 4.351)), mul(mul(stride_timing_cv_walking, rom_roll_ratio_stepforward_walk), mul(peak_roll_walkingincline, 1.249)))"
2,5,34.0,33.85846379612038,0.1415362038796175,peak_roll_walkingincline;stride_timing_cv_walking;rom_roll_ratio_stepforward_walk,peak_roll_walkingincline,stride_timing_cv_walking,rom_roll_ratio_stepforward_walk,"mul(5.491, add(X1, add(X1, sub(X1, sub(-4.086, X1)))))","mul(5.491, add(stride_timing_cv_walking, add(stride_timing_cv_walking, sub(stride_timing_cv_walking, sub(-4.086, stride_timing_cv_walking)))))"
3,6,31.0,45.64701770710826,14.647017707108262,rom_roll_ratio_stepforward_walk;stride_timing_cv_walking;peak_roll_walkingincline,rom_roll_ratio_stepforward_walk,stride_timing_cv_walking,peak_roll_walkingincline,"sub(sub(add(mul(-7.655, -7.994), div(X2, -2.104)), mul(sub(X1, div(div(X1, X1), add(X0, X1))), -5.304)), mul(X1, -5.304))","sub(sub(add(mul(-7.655, -7.994), div(peak_roll_walkingincline, -2.104)), mul(sub(stride_timing_cv_walking, div(div(stride_timing_cv_walking, stride_timing_cv_walking), add(rom_roll_ratio_stepforward_walk, stride_timing_cv_walking))), -5.304)), mul(stride_timing_cv_walking, -5.304))"
4,7,22.0,43.38285071490803,21.38285071490803,peak_roll_walkingincline;rom_roll_walkingincline;rom_roll_ratio_stepforward_walk,peak_roll_walkingincline,rom_roll_walkingincline,rom_roll_ratio_stepforward_walk,"add(5.351, div(mul(mul(3.767, 9.588), -6.479), div(X1, -7.276)))","add(5.351, div(mul(mul(3.767, 9.588), -6.479), div(rom_roll_walkingincline, -7.276)))"
5,8,33.0,59.13478914770231,26.134789147702307,peak_roll_walkingincline;rom_roll_ratio_stepforward_walk;stride_timing_cv_walking,peak_roll_walkingincline,rom_roll_ratio_stepforward_walk,stride_timing_cv_walking,"add(mul(mul(X1, X0), sub(X2, X1)), sub(mul(X2, mul(X1, X0)), add(X0, mul(9.743, -7.124))))","add(mul(mul(rom_roll_ratio_stepforward_walk, peak_roll_walkingincline), sub(stride_timing_cv_walking, rom_roll_ratio_stepforward_walk)), sub(mul(stride_timing_cv_walking, mul(rom_roll_ratio_stepforward_walk, peak_roll_walkingincline)), add(peak_roll_walkingincline, mul(9.743, -7.124))))"
6,9,51.0,34.4184217916269,16.581578208373102,peak_roll_walkingincline;rom_roll_ratio_stepforward_walk;stride_timing_cv_walking,peak_roll_walkingincline,rom_roll_ratio_stepforward_walk,stride_timing_cv_walking,"add(6.622, sub(add(sub(9.042, X2), sub(add(6.622, sub(sub(add(9.042, mul(mul(mul(X1, X0), 2.188), X2)), X2), X2)), mul(0.229, X0))), X2))","add(6.622, sub(add(sub(9.042, stride_timing_cv_walking), sub(add(6.622, sub(sub(add(9.042, mul(mul(mul(rom_roll_ratio_stepforward_walk, peak_roll_walkingincline), 2.188), stride_timing_cv_walking)), stride_timing_cv_walking), stride_timing_cv_walking)), mul(0.229, peak_roll_walkingincline))), stride_timing_cv_walking))"
7,10,51.0,40.53217641119853,10.467823588801473,peak_roll_walkingincline;rom_roll_ratio_stepforward_walk;stride_timing_cv_walking,peak_roll_walkingincline,rom_roll_ratio_stepforward_walk,stride_timing_cv_walking,"sub(sub(add(mul(add(add(4.908, X2), X2), 4.908), mul(X0, mul(X1, X2))), div(X2, mul(X1, X2))), div(X2, sub(X1, X2)))","sub(sub(add(mul(add(add(4.908, stride_timing_cv_walking), stride_timing_cv_walking), 4.908), mul(peak_roll_walkingincline, mul(rom_roll_ratio_stepforward_walk, stride_timing_cv_walking))), div(stride_timing_cv_walking, mul(rom_roll_ratio_stepforward_walk, stride_timing_cv_walking))), div(stride_timing_cv_walking, sub(rom_roll_ratio_stepforward_walk, stride_timing_cv_walking)))"
8,11,22.0,47.242553163710994,25.242553163710998,peak_roll_walkingincline;rom_roll_ratio_stepforward_walk;peak_roll_walking,peak_roll_walkingincline,rom_roll_ratio_stepforward_walk,peak_roll_walking,"sub(sub(sub(9.969, X0), mul(add(X1, X1), sub(sub(9.617, X0), mul(-5.293, 2.907)))), div(mul(X2, 9.617), div(X2, -7.068)))","sub(sub(sub(9.969, peak_roll_walkingincline), mul(add(rom_roll_ratio_stepforward_walk, rom_roll_ratio_stepforward_walk), sub(sub(9.617, peak_roll_walkingincline), mul(-5.293, 2.907)))), div(mul(peak_roll_walking, 9.617), div(peak_roll_walking, -7.068)))"
9,12,49.0,31.462278010711607,17.537721989288393,peak_roll_walkingincline;rom_roll_ratio_stepforward_walk;stride_timing_cv_walking,peak_roll_walkingincline,rom_roll_ratio_stepforward_walk,stride_timing_cv_walking,"add(add(add(mul(3.740, 6.927), mul(mul(X2, X0), X1)), mul(mul(X2, X0), X1)), div(sub(X0, 9.818), -5.369))","add(add(add(mul(3.740, 6.927), mul(mul(stride_timing_cv_walking, peak_roll_walkingincline), rom_roll_ratio_stepforward_walk)), mul(mul(stride_timing_cv_walking, peak_roll_walkingincline), rom_roll_ratio_stepforward_walk)), div(sub(peak_roll_walkingincline, 9.818), -5.369))"
