fold,participant,actual_age,predicted_age,abs_error,n_features_selected,selected_features
0,2,22.0,29.437398356305156,7.437398356305156,11,rom_roll_ratio_stepforward_walk;peak_roll_walkingincline;stride_timing_cv_walking;stride_timing_cv_walkingincline;rom_roll_walkingincline;rom_roll_walking;peak_roll_walking;rom_pitch_walkingincline;rom_pitch_walking;vaf_stepforward;rom_pitch_stepforward
1,3,24.0,42.196549552782855,18.196549552782855,11,stride_timing_cv_walking;peak_roll_walkingincline;rom_roll_ratio_stepforward_walk;stride_timing_cv_walkingincline;peak_roll_walking;rom_pitch_stepforward;rom_pitch_walkingincline;rom_roll_walkingincline;rom_pitch_walking;rom_roll_walking;vaf_stepforward
2,5,34.0,33.19352036181748,0.8064796381825232,11,peak_roll_walkingincline;stride_timing_cv_walking;rom_roll_ratio_stepforward_walk;peak_roll_walking;rom_pitch_walkingincline;rom_roll_walkingincline;rom_roll_walking;rom_pitch_walking;rom_pitch_stepforward;stride_timing_cv_walkingincline;vaf_stepforward
3,6,31.0,40.056955240865925,9.056955240865925,11,rom_roll_ratio_stepforward_walk;stride_timing_cv_walking;peak_roll_walkingincline;peak_roll_walking;rom_pitch_walkingincline;rom_roll_walking;rom_roll_walkingincline;stride_timing_cv_walkingincline;rom_pitch_walking;rom_pitch_stepforward;vaf_stepforward
4,7,22.0,38.33965561364306,16.33965561364306,11,peak_roll_walkingincline;rom_roll_walkingincline;rom_roll_ratio_stepforward_walk;stride_timing_cv_walking;rom_roll_walking;rom_pitch_walkingincline;peak_roll_walking;peak_pitch_walkingincline;rom_pitch_walking;rom_pitch_stepforward;vaf_stepforward
5,8,33.0,65.47374213659212,32.47374213659212,12,peak_roll_walkingincline;rom_roll_ratio_stepforward_walk;stride_timing_cv_walking;peak_roll_walking;rom_pitch_walkingincline;rom_roll_walkingincline;rom_roll_walking;rom_pitch_walking;stride_timing_cv_walkingincline;rom_pitch_stepforward;vaf_stepforward;peak_pitch_stepforward
6,9,51.0,52.210757952312015,1.210757952312015,11,peak_roll_walkingincline;rom_roll_ratio_stepforward_walk;stride_timing_cv_walking;peak_roll_walking;rom_roll_walkingincline;rom_pitch_walkingincline;stride_timing_cv_walkingincline;rom_roll_walking;rom_pitch_walking;rom_pitch_stepforward;vaf_stepforward
7,10,51.0,38.43523010807901,12.564769891920989,11,peak_roll_walkingincline;rom_roll_ratio_stepforward_walk;stride_timing_cv_walking;peak_roll_walking;rom_pitch_walkingincline;rom_roll_walkingincline;stride_timing_cv_walkingincline;rom_roll_walking;rom_pitch_stepforward;rom_pitch_walking;vaf_stepforward
8,11,22.0,54.21402814964276,32.21402814964276,11,peak_roll_walkingincline;rom_roll_ratio_stepforward_walk;peak_roll_walking;stride_timing_cv_walking;rom_pitch_walkingincline;rom_roll_walkingincline;rom_pitch_walking;stride_timing_cv_walkingincline;rom_roll_walking;rom_pitch_stepforward;vaf_stepforward
9,12,49.0,37.069825701802586,11.930174298197414,11,peak_roll_walkingincline;rom_roll_ratio_stepforward_walk;stride_timing_cv_walking;peak_roll_walking;rom_pitch_walkingincline;rom_roll_walkingincline;rom_roll_walking;stride_timing_cv_walkingincline;rom_pitch_stepforward;rom_pitch_walking;vaf_stepforward
