participant_id,actual_age,group,ridge_pred,ridge_error,lasso_pred,lasso_error,linear_pred,linear_error,gplearn_pred,gplearn_error,baseline_pred,baseline_error,ridge_outlier,lasso_outlier,linear_outlier,gplearn_outlier,baseline_outlier
2,22.0,1,35.04150785789669,13.04150785789669,33.44010153072989,11.44010153072989,25.799444108525755,3.799444108525755,11.99420392239063,10.00579607760937,40.67857142857143,18.67857142857143,False,False,False,False,False
3,24.0,1,22.49602495857309,1.5039750414269086,21.79045410868504,2.20954589131496,18.38072590403293,5.619274095967072,43.44293992832502,19.442939928325018,40.60714285714285,16.607142857142847,False,False,False,False,False
5,34.0,1,42.53254749645044,8.53254749645044,41.84791314056141,7.84791314056141,40.98998269393044,6.989982693930443,28.52580353362107,5.474196466378931,40.25,6.25,False,False,False,False,False
6,31.0,1,41.20131488952913,10.20131488952913,41.25762204011399,10.257622040113992,41.13107339084964,10.131073390849645,38.744881696877485,7.744881696877485,40.35714285714285,9.357142857142849,False,False,False,False,False
7,22.0,1,41.69091662810666,19.690916628106663,41.57163310537546,19.57163310537546,43.64514286209729,21.645142862097288,29.369623094196847,7.369623094196847,40.67857142857143,18.67857142857143,False,False,False,False,False
8,33.0,1,53.05229996186276,20.05229996186276,52.615999470754936,19.615999470754936,54.31344965372459,21.31344965372459,64.88807820243238,31.888078202432386,40.285714285714285,7.285714285714285,False,False,False,True,False
9,51.0,2,43.63569946092556,7.364300539074442,43.53505329611658,7.46494670388342,44.12091104523447,6.879088954765528,53.599402348632985,2.599402348632985,39.642857142857146,11.357142857142854,False,False,False,False,False
10,51.0,2,42.17066961857241,8.829330381427589,43.09945551575089,7.90054448424911,45.858383869597205,5.141616130402795,37.211531794971975,13.788468205028025,39.642857142857146,11.357142857142854,False,False,False,False,False
11,22.0,1,42.231607282701184,20.231607282701184,42.12956617347066,20.129566173470657,43.726737715952254,21.72673771595225,23.441106052765377,1.4411060527653774,40.67857142857143,18.67857142857143,False,False,False,False,False
12,49.0,1,36.77125813546388,12.22874186453612,36.915703412983206,12.084296587016794,37.58958573716397,11.410414262836028,39.03964689988473,9.96035310011527,39.71428571428572,9.285714285714278,False,False,False,False,False
13,63.0,2,35.78975310701435,27.21024689298565,35.87727007270819,27.122729927291807,34.89442666443502,28.105573335564983,52.33565718519586,10.664342814804137,39.21428571428572,23.78571428571428,True,True,False,False,False
14,21.0,1,46.83445562686581,25.83445562686581,47.22499588965562,26.224995889655617,48.92662174529832,27.92662174529832,31.925914399269686,10.925914399269686,40.71428571428572,19.71428571428572,False,False,False,False,False
15,55.0,2,45.88929265509354,9.11070734490646,46.526204050124726,8.473795949875274,43.68010111998223,11.319898880017767,49.38264033541865,5.61735966458135,39.5,15.5,False,False,False,False,False
16,52.0,2,40.60447227615855,11.395527723841449,40.6324438970682,11.3675561029318,40.391504742162816,11.608495257837184,41.16252582638822,10.83747417361178,39.60714285714285,12.392857142857151,False,False,False,False,False
17,34.0,1,45.52121372604823,11.52121372604823,46.50804464154877,12.508044641548771,49.00923841958001,15.009238419580008,31.032314498769185,2.9676855012308145,40.25,6.25,False,False,False,False,False
18,29.0,1,46.35705469944009,17.35705469944009,46.22569096926347,17.225690969263468,46.37928041204197,17.37928041204197,42.124395,13.124395,40.42857142857143,11.42857142857143,False,False,False,False,False
19,25.0,1,35.51652686275592,10.516526862755915,34.1789905503619,9.178990550361902,28.86750435864453,3.8675043586445312,41.80699451911043,16.806994519110432,40.57142857142857,15.57142857142857,False,False,False,False,False
20,23.0,1,35.504583034837495,12.504583034837497,37.50313956661086,14.503139566610862,42.70313327037276,19.70313327037276,52.992374073354426,29.992374073354423,40.642857142857146,17.642857142857146,False,False,False,True,False
21,62.0,2,38.50168186254562,23.498318137454383,38.55693386595638,23.44306613404362,36.853907520696616,25.146092479303384,37.342725,24.657275,39.25,22.75,False,False,False,False,False
22,22.0,1,43.61376586202765,21.61376586202765,43.361386526770346,21.361386526770342,42.78517171356758,20.78517171356758,52.93500918363027,30.93500918363027,40.67857142857143,18.67857142857143,False,False,False,True,False
24,57.0,2,48.424268531454416,8.575731468545584,48.11750498688854,8.882495013111459,48.4316761213208,8.568323878679202,44.49349565357887,12.506504346421131,39.42857142857143,17.57142857142857,False,False,False,False,False
25,50.0,2,41.08335243834893,8.916647561651068,39.03273874850728,10.967261251492722,35.62388020455624,14.376119795443763,25.37210962063316,24.627890379366843,39.67857142857143,10.32142857142857,False,False,False,False,False
26,54.0,2,42.97371742408392,11.026282575916078,42.97892647938411,11.021073520615891,42.00822210342047,11.991777896579528,47.62878758163889,6.371212418361111,39.535714285714285,14.464285714285715,False,False,False,False,False
27,53.0,2,47.289042184729205,5.710957815270795,51.59209621277402,1.4079037872259832,66.28318202740192,13.28318202740192,52.90832510005438,0.0916748999456231,39.57142857142857,13.42857142857143,False,False,False,False,False
29,53.0,2,41.39228831852176,11.607711681478245,42.4439996772986,10.5560003227014,45.74074762465898,7.2592523753410205,46.464852,6.535148,39.57142857142857,13.42857142857143,False,False,False,False,False
32,53.0,2,34.919667402207665,18.08033259779233,34.209005460153016,18.790994539846984,32.04303436217438,20.95696563782562,41.715638336544345,11.284361663455655,39.57142857142857,13.42857142857143,False,False,False,False,False
33,34.0,1,51.8911479307263,17.891147930726298,51.59610369459483,17.59610369459483,51.26179379488056,17.26179379488056,35.10173324349293,1.10173324349293,40.25,6.25,False,False,False,False,False
35,60.0,2,45.99114351524851,14.00885648475149,45.8391180981389,14.160881901861105,45.12172984784851,14.878270152151488,35.200025889017354,24.79997411098265,39.32142857142857,20.67857142857143,False,False,False,False,False
36,22.0,1,27.82001756463922,5.820017564639219,29.325743260867355,7.325743260867355,31.28198054570281,9.281980545702812,66.256382,44.256382,40.67857142857143,18.67857142857143,False,False,False,True,False
