participant,age,group,vaf_walking,dmci_walking,quality_walking,cci_knee_walking,cci_ankle_walking,peak_roll_walking,rom_roll_walking,peak_pitch_walking,rom_pitch_walking,stride_count_walking,stride_timing_cv_walking,vaf_walkingincline,dmci_walkingincline,quality_walkingincline,cci_knee_walkingincline,cci_ankle_walkingincline,peak_roll_walkingincline,rom_roll_walkingincline,peak_pitch_walkingincline,rom_pitch_walkingincline,stride_count_walkingincline,stride_timing_cv_walkingincline,vaf_stepforward,dmci_stepforward,quality_stepforward,cci_knee_stepforward,cci_ankle_stepforward,peak_roll_stepforward,rom_roll_stepforward,peak_pitch_stepforward,rom_pitch_stepforward,stride_count_stepforward,stride_timing_cv_stepforward,vaf_steplateral,dmci_steplateral,quality_steplateral,cci_knee_steplateral,cci_ankle_steplateral,peak_roll_steplateral,rom_roll_steplateral,peak_pitch_steplateral,rom_pitch_steplateral,stride_count_steplateral,stride_timing_cv_steplateral
2,22.0,1.0,83.2116,110.07842497574461,ok,0.5927,0.7887,53.026045,64.060781,78.150196,109.144902,34,0.015200299738976866,81.1062,110.62078114965084,ok,0.5858,0.7435,46.219484,51.759715,74.545313,105.500942,12.0,0.7569805675438463,80.9419,96.76799438316284,ok,0.711,0.7275,10.546557,20.416638,32.408629,34.159254999999995,0,,81.3179,98.54523849306167,ok,0.7025,0.635,21.330093,29.282208,37.493423,37.6895,1,
3,24.0,1.0,90.3387,93.06968673372698,ok,0.8328,0.8067,73.700562,77.599559,81.779892,107.808527,36,0.3875783306327988,86.9061,97.21791823792775,ok,0.8029,0.7323,74.51931,76.019846,81.8542,108.446945,26.0,0.8845602670594198,77.2937,107.28121985113117,ok,0.7166,0.6234,9.056711,13.552951,39.728376,41.783223,0,,76.4932,113.01472845342948,ok,0.7178,0.607,26.582835,40.370821,44.74127,45.982548,0,
5,34.0,1.0,87.9937,98.66600096778168,ok,0.8901,0.5454,47.513444,80.54598,81.210638,108.406971,42,0.5199806878331149,85.5433,100.36718315216699,ok,0.8561,0.6146,32.848705,55.831207000000006,79.600828,110.705133,6.0,0.9127942016255914,80.8634,96.99421229863776,ok,0.6474,0.6589,18.433658,27.080689,40.597257,41.923201999999996,0,,77.3995,110.29669443036454,ok,0.6379,0.5592,22.657514,41.954162999999994,52.203155,52.970324000000005,0,
6,31.0,1.0,90.5228,92.63033430281462,ok,0.8785,0.8069,28.468908,45.804985,67.520562,94.50741,0,,88.6353,93.221947523441,ok,0.8524,0.761,36.966297,54.368472999999994,70.44898,86.63511500000001,0.0,,79.1211,102.01509731942642,ok,0.7061,0.6158,14.315672,20.452690999999998,34.620002,35.921184,0,,80.0,102.49767922901803,ok,0.6945,0.6826,18.313233,30.573806,37.629289,39.338659,0,
7,22.0,1.0,87.0151,101.00141807202303,ok,0.7763,0.7108,54.258235,58.14125,68.273418,100.919199,38,0.1581509800069295,83.9574,104.03200500973377,ok,0.7953,0.6517,41.078703,44.765958,66.106965,102.828748,38.0,0.14394124554700308,80.8445,97.04867750376485,ok,0.5227,0.6264,13.261847,11.248529999999999,32.981316,35.803945,0,,85.5152,85.95734904695065,ok,0.4895,0.6607,31.365624,35.00058,16.79113,19.387079,3,0.022687918112937435
8,33.0,1.0,88.5458,97.34842097263389,ok,0.76,0.6772,22.110202,41.646982,63.372581,68.754198,0,,89.7147,90.72758551255912,ok,0.7176,0.7503,15.555457,28.486588,57.465664,68.972722,0.0,,82.2564,92.97992495779026,ok,0.7436,0.5857,21.830015,38.733498999999995,46.90253,44.210722,0,,83.7047,91.38711909964735,ok,0.6773,0.5786,25.362729,48.648943,52.403049,53.312099,2,
9,51.0,2.0,86.774,101.57680031587404,ok,0.8116,0.7058,30.152335,47.344422,70.686151,98.732528,0,,85.1709,101.22775422206917,ok,0.8085,0.7012,30.152335,47.344422,70.686151,98.732528,0.0,,77.8894,105.56455727471851,ok,0.6624,0.696,8.459404,13.949738,42.680588,52.855162,0,,79.2655,104.70047740836394,ok,0.7587,0.6963,26.915178,27.872265000000002,32.793923,33.23539,3,0.11984860698077074
10,51.0,2.0,89.1467,95.91438036570705,ok,0.7488,0.843,35.054248,59.567501,65.93576,95.357122,16,0.849540944004125,88.5875,93.3324075050235,ok,0.7615,0.8231,35.27683,45.52903,68.45235,90.98169999999999,0.0,,84.554,86.35880033874415,ok,0.7983,0.6978,10.307828,19.113726,34.960223,36.11799,0,,83.5749,91.776395074704,ok,0.7607,0.8036,10.910629,20.611124,47.429743,47.926963,0,
11,22.0,1.0,75.2163,129.15911205273295,severe_dropout(7_muscles),,,32.384216,62.888592,67.585078,95.571755,35,0.012919397214124523,,,excluded_no_reliable_data,,,,,,,,,78.969,102.45341254163958,severe_dropout(8_muscles),,,9.097983,16.226029,36.144387,36.142847,0,,80.6946,100.41454292490143,ok,0.8119,0.5934,28.233405,33.902834,48.262042,48.273509000000004,2,
12,49.0,1.0,80.6952,116.08378324379379,ok,0.7781,0.5646,58.174249,79.783437,78.465496,98.23038600000001,1,,77.9239,117.97468908668017,ok,0.757,0.433,44.972112,61.467382,77.800083,93.499656,0.0,,77.4679,106.77921780175886,ok,0.7644,0.6501,8.787783,16.583880999999998,37.40538,43.899622,0,,77.0149,111.45012694197305,ok,0.6895,0.5601,17.382874,26.221848,49.807067,50.508570000000006,0,
